"Game Reference Key","Notes","Displayed Text","Alternate Text","Frequency","Requires Suffix","Misc."
"[The key used by the game to find strings]","[Not loaded into the game, for explanation only]","[Zobrazeny retezec ve hre]","[Alternativni zobrazeny retezec, napr. prezdivka]","[For lists]","[Does this require a suffix for naming?]","[Miscellaneous]"
"— ","— ","-","-","— ","— ","— "
"tower","Tower",Věž,,"1",,"11:49 05/09/2022"
"terrace","Terrace","Terasa",,"1",,"11:49 05/09/2022"
"heights","Heights",Výšková,,"1",,"11:49 05/09/2022"
"grange","Grange","Statek",,"1",,"11:49 05/09/2022"
"projects","Projects","Projekty",,"3",,"11:49 05/09/2022"
"slum","Slum","Brloh",,"1",,"11:49 05/09/2022"
"smoke","Smoke","Kour",,"1",,"11:49 05/09/2022"
"alley","Alley",Ulička,,"1",,"11:49 05/09/2022"
"hollows","Hollows",Doupě,,"1",,"11:49 05/09/2022"
"shanty","Shanty",Chatrč,,"1",,"11:49 05/09/2022"
"smog","Smog","Smog",,"1",,"11:49 05/09/2022"
