"Game Reference Key","Notes","Displayed Text","Alternate Text","Frequency","Requires Suffix","Misc."
"[The key used by the game to find strings]","[Not loaded into the game, for explanation only]","[Zobrazeny retezec ve hre]","[Alternativni zobrazeny retezec, napr. prezdivka]","[For lists]","[Does this require a suffix for naming?]","[Miscellaneous]"
"— ","— ","-","-","— ","— ","— "
"pawnbrokers","Pawnbrokers",Zastavárny,,"3",,"11:49 05/09/2022"
"pawn shop","Pawn Shop",Zastavárna,,"2",,"11:49 05/09/2022"
"bargains","Bargains",Výhodné nabídky,,"1",,"11:49 05/09/2022"
"emporium","Emporium",Emporium,,"2",,"11:49 05/09/2022"
"trinkets","Trinkets",Drobnosti,,"1",,"11:49 05/09/2022"
"curios","Curios",Kuriozity,,"1",,"11:49 05/09/2022"
"goods","Goods",Zboží,,"1",,"11:49 05/09/2022"
"& beyond","& Beyond",& Beyond,,"1",,"11:49 05/09/2022"
"merchant","Merchant",Obchodník,,"1",,"11:49 05/09/2022"
"collections","Collections",Sbírky,,"1",,"11:49 05/09/2022"
"bring & buy","Bring & Buy",Přinést a koupit,,"1",,"11:49 05/09/2022"
"4 crows","4 Crows",4 vrány,,"1",,"11:49 05/09/2022"
"hagglers","Hagglers",Handlíři,,"1",,"11:49 05/09/2022"
"corner",,Roh,,"1",,"11:49 05/09/2022"
